service,description,link
Academic Advisory System,"The academic advisory system is used to send emails to students regarding concerns or encouraging notes. These advisories are automatically copied to the instructor, student's advisors, and the Office of Academic Affairs. The Academic Affairs Committee keeps track of all advisories and the Associate Dean for Academic Affairs will meet with students who receive two or more advisories. Advisories can be used for concerns such as missing assignments or poor performance, but they can also be used to send positive notes about improvements or good exam performance. The advisory system can also be used to schedule conferences with students. Available to faculty and emeritus at HMC. The Academic Advisory System can be accessed by logging into the HMC Portal and looking in the Faculty tab.
Selecting a course takes you to a class list from which you can select one or more students. The next step allows you to enter any additional personalized comments and/or request a conference with the student(s). Finally, you’ll be able to preview the notices before they are sent.",https://www.hmc.edu/cis/services/academic-advisory-system/
Academic and Scientific Software Support,"CIS maintains campus-wide license agreements for popular academic software packages including MATLAB, Mathematica, Wolfram Alpha Pro, Maple and more. Installation and licensing information can be obtained by contacting the HMC Helpdesk. Users can install the software on their system or visit either of the CIS maintained computer labs in the LAC or Sprague first floor to use the software.

If you are taking a course at another campus and the professor is using software that HMC doesn’t license, the IT support group at that campus can help you obtain the software. Our HelpDesk can facilitate that request on your behalf if needed.

Additionally, the Academic & Research Computing Services (ARCS) group provides technical and advisory support for the following scientific software:

Mathematical Software: MATLAB, Mathematica, Maple, ODE Architect
Programming Software: Anaconda, Jupyter, Python packages
Statistical Software: R, RStudio, Tableau
Scientific and Engineering Software: COMSOL, Materials Studio, Gaussian, GROMACS
High Performance Computing Software/Library: MPI, OpenMP, GPGPU

We can also research new specialized (scientific) software on demand, and provide recommendations or “best effort” support on the selection and the use of new specialized software. We regularly provide seminars and workshops on some of the specialized scientific software. Available to faculty, students, and staff at HMC. Academic software packages are installed on all systems in CIS maintained computer labs. Our license also allows for installation on personal systems for HMC related use. Please visit our FAQ (Google Doc) for detailed installation and activation instructions for Maple, Mathematica, and Matlab. Please note that you can access Mathematica online and Matlab online.
Please contact the CIS Help Desk at 909.607.7777, send an email to helpdesk@hmc.edu, or chat with us online at helpdesk.hmc.edu if you need any further assistance with accessing any software.",https://www.hmc.edu/cis/services/academic-and-scientific-software-support/
Adobe Acrobat,"Acrobat Pro DC is a software package that includes Acrobat desktop software, the Acrobat Reader mobile app with premium mobile features, and premium Adobe Acrobat online services. It offers various features such as productivity on the go, document scanning, creating protected PDFs, exporting PDFs to Office formats, integration with cloud storage services, signing forms from anywhere, and deleting sensitive information. However, it's important to note that while Acrobat Pro DC includes PDF and e-signing tools, it does not include Acrobat Sign, a more comprehensive e-signature service. Available to all faculty and staff at HMC. If you’d like a license, please email helpdesk@hmc.edu. Please note that if you only need to read PDF files, you can download Acrobat Reader, which is free to use.",https://www.hmc.edu/cis/services/adobe-acrobat/
Anki Flash Cards,"Anki is a free, open source application that allows you to create flash cards in order to quickly memorize information. Both a desktop and mobile versions are available. You can also create an account on the Anki website that allows you to synchronize your flashcards between your desktop and mobile apps.
At HMC, faculty are very interested in learning the names and faces of all of the students in their classes. In order to support that CIS creates an Anki flash card file that contains the names and faces of all current HMC students. The cards are also tagged with the students’ class year, major, advisors, and state/country of origin. We do not include tags for courses due to FERPA concerns, but faculty are free to add their own tags.

[Anki](https://apps.ankiweb.net/) HMC faculty, staff and students can access this service, although it is primarily intended for faculty. To access this service please download the Anki file listed in the Related Links section below and follow the instructions in the Quick Guide to Installing Anki to install Anki and import the file.",https://www.hmc.edu/cis/services/anki-flash-cards/
Audiovisual Event Support,"CIS (Computing and Information Services) provides AV support for classes, meetings, and events on the HMC campus. To reserve an event space, use the EMS website. To request an AV setup, use the AV request form. Most classrooms and meeting rooms have built-in AV equipment. CIS maintains a list of AV equipment in class/meeting rooms. For on-campus meetings, CIS can provide additional equipment such as projectors, conference phones, laptops, and more. For large campus events, CIS can provide dedicated tech/AV support, sound systems, microphones, and video recording. CIS also offers training on campus AV equipment. Available to faculty and staff at HMC. If you would like to request an AV setup, please use our AV request form. CIS staff will respond within 24 hours confirming the event and what equipment and staffing will be provided.
To report a problem with audiovisual equipment, please contact the Help Desk at helpdesk@hmc.edu or 909.607.7777.",https://www.hmc.edu/cis/services/audiovisual-event-support/
A Bite of Learning Service,"A Bite of Learning is sponsored by the Harvey Mudd College Computing and Information Services Department in collaboration with the Library of The Claremont Colleges. The purpose of the lunchtime speaker series is to foster innovation in the use of technology in teaching, learning, and research. Presentations are informal with plenty of time for discussion and Q&A. Available to faculty, students and staff at HMC and all of The Claremont Colleges. CIS organizes and publicizes approximately six presentations per semester. The presentations are typically held in the Hoch Shanahan Aviation Room on the HMC campus from 12:15–1p.m. All faculty, staff and students of The Claremont Colleges are invited and are welcome to bring their lunches.
More information and a current schedule can be found on the A Bite of Learning Home Page. If you have an idea for a future presentation or would like to volunteer to present at A Bite of Learning please contact ehodas@hmc.edu.",https://www.hmc.edu/cis/services/a-bite-of-learning-service/
Canvas Support,"Canvas is the Course Management System being adopted by all of The Claremont Colleges. All faculty and students teaching or enrolled in courses on Canvas have accounts on Canvas. Each college has their own instance of Canvas, but there is a Federated Trust between all instances that allows users to see any courses they might be enrolled in at any of the other colleges from their home instance of Canvas. More information on the instances of Canvas at The Claremont Colleges can be found here: https://docs.google.com/document/d/e/2PACX-1vTgMrNhWqMnEV6tqmR_xQr2V4f2RanhlBwBVK8R8aw-z0qOyilGX0AQ0834TbENqaRyngsfZvGPyxAp/pub. CIS provides support for Canvas, including help with accounts, passwords, consultation on tool usage, and training in workshops or one-on-one. Course sites are automatically created for all courses each semester and become available to faculty immediately. Students can see their courses up to two weeks before classes start if the instructor has published the site. If instructors want to combine course sections, they can contact the CIS Help Desk at helpdesk@hmc.edu. Available to faculty, students, staff, and emeritus at HMC and all of The Claremont Colleges. To login to Canvas please use your HMC Credentials. Please send an email to helpdesk@hmc.edu to request Canvas support. A CIS staff member will respond within one business day.",https://www.hmc.edu/cis/services/canvas-support/
Classroom Technologies,"At HMC, there are several Class and Meeting Rooms that contain different levels of classroom technology. A list of these rooms and their technology can be found here: [AV Equipment in HMC Class/Meeting Rooms](http://goo.gl/4Mj1Nx).

All classrooms in the Shanahan Center for Teaching and Learning (SCTL) have AV controls to enable a user to project from a VGA or HDMI source. [User Guides](https://drive.google.com/file/d/0B3M48dV5JsLVYUZqb2J4bGg1VDQ/view?usp=sharing) are provided in each room to aid in the use of the room.

SCTL Technology Rich Classrooms (SCTL 2450, 2454, 2460) allow the Academic & Research Computing Services Team (ARCS) to work with faculty and students on new technologies that we want to test at HMC. These rooms are designed to be flexible in their AV hardware, software, and control systems. If there are any technologies that you feel would be good to try in these rooms, please feel free to email the team at helpdesk@hmc.edu. Below are some additional technologies that can be found in these tech rich rooms.

[Smartboard](https://www.hmc.edu/cis/services/smartboard/)

[Wireless Projection – AppleTV (2454/2460) or MS WiDi adapter (2450)](https://docs.google.com/document/d/1iyswbxlkxtyMu0_tpUPNCSovaDcR5_aYAU6q694D7Gc/edit?usp=sharing)

Bluray/DVD player

Document Camera

Simulcast
Simulcasting is available in the SCTL Lecture Hall, Recital Hall, B460, and Technology Rich Classrooms. Simulcast is used to accommodate events too large for any single space by transmitting video and audio from one room to any number of the other simulcast capable rooms. Available to faculty, students, and staff at HMC.  View current list of rooms with known issues. You must reserve all event space via the Event Management System (EMS) – Facility Reservations system.
For help choosing a room, check the AV Equipment in HMC Class/Meeting Rooms for a list of rooms and technology contained within. (You will need to be logged in to g.hmc.edu to view this page).
For AV assistance with any of the rooms at HMC, please contact the CIS Help Desk (909.607.7777) or use the Audio Visual Request Form.",https://www.hmc.edu/cis/services/classroom-technologies-2016/
Cognos Reporting: Account Management,"Account management is an important aspect of using Cognos reporting software. It involves assigning privileges, capabilities, and access to the software and its various features. To learn more about Cognos reporting software, click [here](https://www.ibm.com/products/cognos-analytics). Available to faculty, staff, and emeritus at HMC. Please contact the Help Desk at helpdesk@hmc.edu for changes to your Cognos account.",https://www.hmc.edu/cis/services/cognos-reporting-account-management/
Cognos Reporting: Training and Usage Support,"Training and documentation are available to HMC faculty and staff Cognos users. [source] Available to faculty, staff, and emeritus at HMC. Individual appointments for training and support can be scheduled by contacting the Help Desk at helpdesk@hmc.edu. Classes can be held for groups as needed. Basic vendor training is available within the Cognos site help menu as well.",https://www.hmc.edu/cis/services/cognos-reporting-training-and-usage-support/
